seq1	4p12.1	(45.6,69.2)
seq5695	20p15.15	(21.9,1.1)
seq5696	7p1.12	(18.6,16.1)
seq5697	14q5.12	(57.6,34.9)
seq5698	7q15.11	(79.2,80.0)
seq5699	17q7.2	(92.8,72.2)
seq5700	12p5.11	(67.8,72.4)
seq5701	7p12.1	(22.9,62.9)
seq5702	4p6.9	(37.3,3.3)
seq5703	14p3.9	(22.0,9.8)
seq5704	21q8.9	(86.0,98.3)
seq5705	12q11.3	(83.9,73.5)
seq5706	2q14.7	(61.8,57.7)
seq5707	7q14.9	(84.3,35.5)
seq5708	5q14.3	(92.6,4.1)
seq5709	22q13.8	(81.8,37.8)
seq5710	4p14.12	(17.3,66.8)
seq5711	14p2.8	(80.1,14.0)
seq5712	13q7.5	(63.4,56.9)
seq5713	12p10.4	(55.5,46.6)
seq5714	22p13.7	(74.0,77.8)
seq5715	20p11.15	(97.2,10.5)
seq5716	16p2.8	(71.1,64.6)
seq5717	9p8.12	(12.0,35.0)
seq5718	9q1.13	(17.8,72.3)
seq5719	8q6.7	(0.7,70.1)
seq5720	11q13.12	(33.3,8.1)
seq5721	15q2.12	(77.2,18.1)
seq5722	1p14.12	(37.8,56.0)
seq5723	15p7.2	(51.2,87.6)
seq5724	19p1.15	(17.6,22.0)
seq5725	7p7.7	(62.3,12.7)
seq5726	17p7.7	(74.3,40.5)
seq5727	8p14.3	(96.1,63.7)
seq5728	10p9.2	(14.2,7.3)
seq5729	16p2.11	(75.1,35.5)
seq5730	22p6.6	(10.2,94.5)
seq5731	1p1.3	(69.8,25.9)
seq5732	6p5.3	(91.0,10.3)
seq5733	9p1.2	(56.7,71.5)
seq5734	10p10.7	(98.6,63.1)
seq5735	22q8.6	(79.7,63.6)
seq5736	17q5.15	(30.3,23.8)
seq5737	3q9.4	(50.0,7.3)
seq5738	7q2.7	(49.2,83.3)
seq5739	15p3.4	(99.5,14.5)
seq5740	16p2.9	(49.3,41.5)
seq5741	9p8.12	(43.1,62.0)
seq5742	5q13.1	(33.1,9.5)
seq5743	13q15.15	(41.7,25.6)
seq5744	18q1.12	(93.1,56.1)
seq5745	21q14.10	(77.7,58.7)
seq5746	15q12.2	(11.6,36.8)
seq5747	11p3.3	(84.7,87.4)
seq5748	13p11.2	(39.1,88.4)
seq5749	9q2.7	(57.9,68.4)
seq5750	1q10.10	(79.2,65.3)
seq5751	20q12.1	(99.6,7.6)
seq5752	7p2.6	(52.6,57.1)
seq5753	4p6.2	(64.2,94.0)
seq5754	6q15.2	(15.7,42.9)
seq5755	19p4.11	(18.1,53.0)
seq5756	19p5.8	(19.1,9.4)
seq5757	20p2.3	(91.5,19.5)
seq5758	5q11.8	(26.3,11.8)
seq5759	15q2.13	(64.1,8.6)
seq5760	4p1.3	(48.0,49.0)
seq5761	11q12.1	(62.2,72.1)
seq5762	5q14.2	(0.2,84.3)
seq5763	13p9.2	(28.1,13.4)
seq5764	15q9.12	(14.6,56.9)
seq5765	17p11.15	(19.7,28.5)
seq5766	15q9.6	(87.8,0.3)
seq5767	2p2.12	(76.6,83.7)
seq5768	22q9.2	(84.2,29.7)
seq5769	18p14.7	(8.2,1.4)
seq5770	8q1.3	(13.8,17.6)
seq5771	1p13.9	(46.0,30.9)
seq5772	15p2.5	(52.7,60.3)
seq5773	7p12.5	(27.8,58.9)
seq5774	10q1.9	(44.8,31.6)
seq5775	5p10.4	(6.8,99.4)
seq5776	22q5.10	(22.0,52.1)
seq5777	17p9.6	(96.5,75.3)
seq5778	16p8.2	(69.3,36.8)
seq5779	16q6.11	(40.5,70.8)
seq5780	12q7.13	(56.3,98.8)
seq5781	12q2.8	(30.6,59.6)
seq5782	5p3.4	(25.6,96.6)
seq5783	14q7.7	(2.5,47.6)
seq5784	1p15.1	(62.4,94.6)
seq5785	3q5.11	(58.5,87.5)
seq5786	4p1.15	(44.6,30.0)
seq5787	15q12.9	(3.1,72.4)
seq5788	7q9.12	(24.9,39.1)
seq5789	17q7.1	(97.0,67.4)
seq5790	13p10.4	(4.1,55.4)
seq5791	6q5.1	(12.6,60.3)
seq5792	7p15.6	(10.4,39.0)
seq5793	10q3.14	(2.6,84.7)
seq5794	22p5.4	(14.6,1.9)
seq5795	3p4.7	(62.8,34.4)
seq5796	12p1.15	(4.1,19.4)
seq5797	20p12.6	(37.0,6.9)
seq5798	22p3.6	(34.3,2.4)
seq5799	19p10.9	(71.4,51.0)
seq5800	20q6.8	(99.9,80.1)
seq5801	5p5.7	(66.8,1.0)
seq5802	11q11.1	(11.7,16.9)
seq5803	10q14.8	(73.4,4.9)
seq5804	14q14.3	(74.1,34.0)
seq5805	13q12.11	(6.2,47.7)
seq5806	2p5.7	(77.4,21.0)
seq5807	15q4.12	(73.6,49.8)
seq5808	5p9.8	(30.6,69.6)
seq5809	21q15.6	(32.5,5.2)
seq5810	13q14.3	(55.7,74.1)
seq5811	15q7.1	(61.8,66.1)
seq5812	5q5.13	(57.8,62.7)
seq5813	5q15.6	(78.9,95.4)
seq5814	20q3.5	(39.7,80.4)
seq5815	18q5.2	(12.1,28.8)
seq5816	15p7.14	(61.1,64.3)
seq5817	8p1.11	(44.8,96.4)
seq5818	15q7.7	(86.5,0.4)
seq5819	11q5.11	(66.4,71.2)
seq5820	20q15.4	(64.2,14.4)
seq5821	8p8.11	(58.0,15.1)
seq5822	17p1.15	(76.9,55.2)
seq5823	19p4.5	(95.2,50.4)
seq5824	21q15.5	(86.1,92.9)
seq5825	12q6.3	(51.2,18.6)
seq5826	13q5.3	(35.0,52.6)
seq5827	22q10.13	(24.1,54.8)
seq5828	19p4.5	(94.1,61.9)
seq5829	7p8.2	(66.1,11.9)
seq5830	3q1.15	(96.7,98.0)
seq5831	6q12.10	(6.3,78.6)
seq5832	18p15.1	(31.4,25.5)
seq5833	15p3.7	(88.5,17.5)
seq5834	12p6.2	(89.6,13.0)
seq5835	17p11.12	(51.8,26.4)
seq5836	12q13.2	(2.8,93.6)
seq5837	14p14.10	(74.6,21.2)
seq5838	7q4.11	(15.1,54.3)
seq5839	12p7.15	(22.7,3.3)
seq5840	1q7.14	(22.5,98.9)
seq5841	22q3.11	(12.3,22.3)
seq5842	22q15.7	(81.6,95.0)
seq5843	7p11.8	(60.4,75.3)
seq5844	7q5.11	(43.1,26.8)
seq5845	20q3.4	(14.9,51.7)
seq5846	2q5.6	(3.3,91.2)
seq5847	3p2.7	(24.2,85.8)
seq5848	9p5.5	(55.5,59.0)
seq5849	6q4.4	(89.2,21.7)
seq5850	2p15.3	(95.3,86.6)
seq5851	13q10.3	(94.4,80.4)
seq5852	19q13.3	(85.4,70.3)
seq5853	6q13.7	(73.2,21.9)
seq5854	7q14.11	(80.7,56.8)
seq5855	5q5.4	(75.5,95.7)
seq5856	8q1.13	(5.4,64.1)
seq5857	13p12.11	(74.8,1.0)
seq5858	18p13.13	(91.7,0.3)
seq5859	10q7.6	(32.2,84.8)
seq5860	9q8.14	(28.2,58.5)
seq5861	10q1.14	(3.5,20.5)
seq5862	1q9.11	(23.3,62.8)
seq5863	22p5.2	(70.2,43.6)
seq5864	21p3.10	(49.0,7.1)
seq5865	16p2.12	(34.7,16.5)
seq5866	5q7.2	(42.5,24.3)
seq5867	16q2.12	(94.3,34.8)
seq5868	2p15.14	(29.4,86.3)
seq5869	10q11.15	(25.3,48.4)
seq5870	13p6.3	(97.8,6.8)
seq5871	12p1.13	(0.9,94.6)
seq5872	19q14.11	(61.4,16.4)
seq5873	2p2.13	(59.9,12.0)
seq5874	13q7.12	(95.8,59.7)
seq5875	11q3.8	(30.6,8.5)
seq5876	8p10.14	(80.5,93.7)
seq5877	21q2.9	(36.9,40.3)
seq5878	6q8.4	(80.0,62.0)
seq5879	6q13.13	(13.9,14.6)
seq5880	17q15.1	(69.7,48.2)
seq5881	1p14.3	(59.2,20.1)
seq5882	6q2.15	(17.3,99.1)
seq5883	12p1.3	(99.8,59.5)
seq5884	5q10.13	(49.9,81.1)
seq5885	14p10.8	(75.7,52.5)
seq5886	6q1.11	(94.7,6.0)
seq5887	2q2.6	(89.5,19.0)
seq5888	19q7.2	(41.4,61.0)
seq5889	17q5.15	(2.7,79.0)
seq5890	22q13.9	(0.6,58.9)
seq5891	2p9.9	(31.0,43.5)
seq5892	13q4.8	(72.3,54.3)
seq5893	20q8.7	(90.4,64.3)
seq5894	2p2.3	(76.4,62.9)
seq5895	1p6.13	(82.1,54.1)
seq5896	1p6.8	(39.8,22.5)
seq5897	8p10.6	(46.5,28.6)
seq5898	15p10.5	(10.3,10.6)
seq5899	5p10.5	(61.1,24.8)
seq5900	10q4.4	(31.7,20.2)
seq5901	1q11.6	(40.7,78.0)
seq5902	11q10.13	(25.6,21.9)
seq5903	13q11.5	(92.4,70.4)
seq5904	6p2.1	(79.9,28.9)
seq5905	4p7.7	(34.8,87.1)
seq5906	15p8.2	(47.0,61.1)
seq5907	13q9.14	(9.7,48.4)
seq5908	19q14.14	(67.6,0.1)
seq5909	4q5.8	(60.0,94.9)
seq5910	16p8.6	(62.2,79.1)
seq5911	15p13.7	(77.7,40.6)
seq5912	4p12.8	(17.4,9.3)
seq5913	15q15.6	(15.7,25.7)
seq5914	22q8.6	(19.6,42.0)
seq5915	16q8.8	(15.9,2.3)
seq5916	19q1.14	(67.8,44.7)
seq5917	16p1.2	(14.9,49.4)
seq5918	19p11.6	(43.8,78.3)
seq5919	13p13.6	(27.6,19.4)
seq5920	8p12.3	(62.5,7.3)
seq5921	17p2.7	(59.6,83.1)
seq5922	7p15.15	(92.0,85.0)
seq5923	22q15.4	(11.8,18.7)
seq5924	17q15.4	(41.9,48.1)
seq5925	15q8.1	(30.7,2.0)
seq5926	10p1.7	(89.8,49.5)
seq5927	18q9.7	(65.1,44.2)
seq5928	4q2.6	(32.9,98.7)
seq5929	13q10.8	(0.3,81.6)
seq5930	7q11.11	(24.2,55.5)
seq5931	11p11.4	(23.3,29.0)
seq5932	14q4.12	(58.8,63.3)
seq5933	15p3.5	(59.7,7.9)
seq5934	1p13.2	(33.8,2.8)
seq5935	18p4.2	(6.2,68.6)
seq5936	11p14.1	(39.3,93.4)
seq5937	2p14.6	(87.6,65.5)
seq5938	5q6.12	(18.2,91.2)
seq5939	16p13.1	(40.2,21.9)
seq5940	10q1.6	(37.0,13.3)
seq5941	14p11.8	(41.1,65.2)
seq5942	17q11.9	(26.0,92.8)
seq5943	17p7.9	(45.0,58.4)
seq5944	15q15.5	(68.6,72.0)
seq5945	19p10.7	(91.6,9.8)
seq5946	22q8.2	(55.3,95.5)
seq5947	4p8.6	(51.4,74.3)
seq5948	20p9.6	(17.7,20.4)
seq5949	5q11.13	(70.8,69.0)
seq5950	8p7.14	(73.3,75.9)
seq5951	19p1.7	(61.4,51.8)
seq5952	8p5.15	(59.7,85.1)
seq5953	6p8.9	(63.0,74.5)
seq5954	7q13.10	(73.9,13.7)
seq5955	15q2.3	(90.9,67.6)
seq5956	7q8.4	(80.5,96.6)
seq5957	17p6.11	(16.5,25.3)
seq5958	3p10.1	(51.9,91.4)
seq5959	5q2.11	(20.7,31.4)
seq5960	6p4.5	(27.0,73.5)
seq5961	18q2.9	(77.0,79.6)
seq5962	11p3.8	(33.1,34.2)
seq5963	16q14.14	(45.0,5.3)
seq5964	12q2.15	(87.1,47.6)
seq5965	14p5.6	(17.3,78.7)
seq5966	1p4.14	(73.2,81.4)
seq5967	1p2.3	(58.2,10.9)
seq5968	2q3.12	(29.3,57.1)
seq5969	7q14.10	(13.9,17.2)
seq5970	3q5.2	(88.1,75.6)
seq5971	19p12.3	(50.5,56.4)
seq5972	9p9.9	(88.4,97.1)
seq5973	3p12.15	(83.6,79.5)
seq5974	8q13.1	(1.2,65.8)
seq5975	9q5.1	(13.2,71.7)
seq5976	9q9.9	(71.3,9.4)
seq5977	10p15.9	(44.3,70.8)
seq5978	13q5.13	(94.4,56.3)
seq5979	8q7.14	(95.8,48.6)
seq5980	15p11.15	(88.3,34.9)
seq5981	11p2.8	(82.0,34.5)
seq5982	4q8.1	(1.3,66.8)
seq5983	2p13.15	(60.1,52.3)
seq5984	8q1.5	(27.8,7.6)
seq5985	20p15.9	(28.2,94.0)
seq5986	4p14.3	(27.3,79.7)
seq5987	13q9.5	(4.5,28.9)
seq5988	9q15.1	(23.5,57.3)
seq5989	12q5.7	(98.8,23.9)
seq5990	20p5.4	(28.4,80.4)
seq5991	22q2.10	(38.7,90.5)
seq5992	17p5.1	(5.3,6.2)
seq5993	18q5.13	(86.7,90.6)
seq5994	17p4.14	(19.4,52.7)
seq5995	20p8.8	(59.8,43.8)
seq5996	4q15.1	(51.2,69.9)
seq5997	7p2.5	(90.1,65.9)
seq5998	2p14.12	(85.8,25.1)
seq5999	4p5.12	(89.9,42.8)
seq6000	7p15.13	(18.2,70.0)
seq6001	7q3.14	(48.8,47.9)
seq6002	18p2.10	(78.1,29.2)
seq6003	4p7.5	(46.5,84.1)
seq6004	13q14.1	(17.3,80.2)
seq6005	14q2.13	(69.4,22.2)
seq6006	12p12.14	(19.9,88.1)
seq6007	5q3.13	(43.4,24.2)
seq6008	3q10.10	(14.0,54.2)
seq6009	21p1.3	(40.9,37.8)
seq6010	20p15.9	(45.9,11.5)
seq6011	3q2.14	(34.6,2.6)
seq6012	8q5.8	(31.4,18.2)
seq6013	10q5.3	(74.6,92.7)
seq6014	22p6.3	(77.2,10.9)
seq6015	18p1.9	(21.3,48.2)
seq6016	21p3.15	(3.0,67.5)
seq6017	4p8.1	(19.0,65.9)
seq6018	13p3.15	(1.2,74.7)
seq6019	1p3.3	(88.4,21.9)
seq6020	17q12.10	(97.8,58.3)
seq6021	22p11.7	(76.2,45.5)
seq6022	4p13.13	(41.3,34.3)
seq6023	2q7.14	(63.0,57.1)
seq6024	20p7.4	(83.3,2.0)
seq6025	18q4.14	(3.4,23.6)
seq6026	20q10.8	(86.3,38.0)
seq6027	7p7.15	(94.9,44.4)
seq6028	6p9.13	(56.5,16.7)
seq6029	2q13.1	(40.7,87.2)
seq6030	6q13.10	(70.6,39.8)
seq6031	11q3.2	(90.7,97.7)
seq6032	14q1.8	(24.5,86.4)
seq6033	6p14.4	(32.4,99.2)
seq6034	17q7.4	(51.9,93.2)
seq6035	5p8.7	(12.8,30.1)
seq6036	20p14.9	(85.4,54.5)
seq6037	5p10.2	(3.3,83.6)
seq6038	4q11.15	(99.4,73.6)
seq6039	9q10.3	(36.3,51.6)
seq6040	18q3.10	(98.0,32.7)
seq6041	18q8.3	(5.2,18.1)
seq6042	19q13.11	(40.5,88.8)
seq6043	11p9.10	(33.1,99.0)
seq6044	20q3.8	(23.9,52.0)
seq6045	15p2.13	(62.0,83.1)
seq6046	22q8.15	(80.9,34.3)
seq6047	2p4.10	(43.6,60.3)
seq6048	20p7.5	(12.9,89.4)
seq6049	21p3.8	(27.0,27.2)
seq6050	8p7.9	(72.3,43.7)
seq6051	21p6.11	(9.5,56.6)
seq6052	8q14.8	(1.2,64.1)
seq6053	19p2.10	(59.8,61.4)
seq6054	5p1.14	(3.2,59.6)
seq6055	20q6.7	(26.2,91.6)
seq6056	15p9.3	(38.7,55.6)
seq6057	16p1.8	(88.2,82.9)
seq6058	7q12.3	(3.9,81.8)
seq6059	14q10.3	(87.8,37.2)
seq6060	13q10.2	(14.7,33.5)
seq6061	8p6.5	(30.7,57.7)
seq6062	15q5.8	(78.0,43.1)
seq6063	9q10.4	(97.3,46.7)
seq6064	15q8.5	(40.6,46.1)
seq6065	16q15.4	(59.0,84.7)
seq6066	4q12.4	(53.3,55.3)
seq6067	10q15.3	(3.0,28.7)
seq6068	9q9.1	(47.8,88.2)
seq6069	7q4.5	(56.2,65.7)
seq6070	12p6.8	(56.8,98.1)
seq6071	10q5.14	(10.9,20.0)
seq6072	15q14.1	(25.9,67.2)
seq6073	13p3.3	(78.5,7.2)
seq6074	3p4.10	(47.7,63.8)
seq6075	12q10.10	(56.6,69.7)
seq6076	5p15.7	(64.4,48.3)
seq6077	15p13.2	(80.6,10.3)
seq6078	1q1.4	(94.9,27.8)
seq6079	1q9.15	(64.7,7.6)
seq6080	13q7.2	(37.4,67.5)
seq6081	18p2.4	(4.3,39.0)
seq6082	1p8.8	(26.7,24.6)
seq6083	1q8.3	(6.6,68.3)
seq6084	16p5.5	(36.5,74.9)
seq6085	4q5.1	(57.5,53.5)
seq6086	7p15.5	(13.1,89.1)
seq6087	15q5.11	(71.7,53.8)
seq6088	4p8.10	(30.3,93.3)
seq6089	18q11.11	(50.5,94.7)
seq6090	7p10.9	(56.4,27.3)
seq6091	10p2.7	(50.5,22.4)
seq6092	7p11.14	(44.8,76.9)
seq6093	2q15.13	(4.6,62.0)
seq6094	18p5.15	(61.6,40.1)
seq6095	5q4.8	(37.2,7.1)
seq6096	7p11.1	(57.1,85.7)
seq6097	18q5.4	(5.9,34.2)
seq6098	15p2.2	(33.8,22.8)
seq6099	15p8.7	(95.5,96.3)
seq6100	2p1.5	(1.6,71.5)
seq6101	21q3.9	(79.9,41.9)
seq6102	6q9.3	(25.3,46.4)
seq6103	5q13.6	(15.3,10.9)
seq6104	11q14.1	(55.0,61.9)
seq6105	3q4.1	(6.0,94.5)
seq6106	16p2.1	(29.4,70.2)
seq6107	9p5.1	(20.1,64.5)
seq6108	16p14.2	(29.5,61.0)
seq6109	3p8.7	(85.8,19.9)
seq6110	7p5.14	(22.4,51.1)
seq6111	3q10.11	(10.9,28.3)
seq6112	18p1.5	(35.6,42.6)
seq6113	1q4.15	(87.0,61.0)
seq6114	19q2.6	(78.7,1.9)
seq6115	6p15.13	(32.2,76.9)
seq6116	12q8.11	(39.7,66.9)
seq6117	4p6.15	(60.6,94.8)
seq6118	2p3.8	(94.1,95.1)
seq6119	9p5.14	(64.7,25.1)
seq6120	21p12.11	(87.4,55.8)
seq6121	11q12.1	(88.4,10.8)
seq6122	18p13.15	(69.9,98.5)
seq6123	8q3.2	(91.8,44.5)
seq6124	12q5.3	(48.5,69.7)
seq6125	6p10.2	(32.3,30.4)
seq6126	1q10.8	(93.9,70.9)
seq6127	6p3.3	(44.0,99.6)
seq6128	14q8.8	(52.8,49.5)
seq6129	10q11.11	(72.2,16.7)
seq6130	21p6.5	(85.7,60.6)
seq6131	8p6.12	(49.0,26.4)
seq6132	21p13.12	(12.7,50.6)
seq6133	1q3.9	(86.4,77.4)
seq6134	22p3.9	(48.0,80.4)
seq6135	17q2.3	(28.9,50.7)
seq6136	8q1.4	(45.7,67.1)
seq6137	8q1.14	(45.5,12.3)
seq6138	15p7.4	(73.6,50.3)
seq6139	14p6.12	(69.2,24.6)
seq6140	7q7.2	(60.8,75.2)
seq6141	22q8.1	(71.7,92.6)
seq6142	7p11.5	(97.2,98.9)
seq6143	8p14.4	(69.0,62.6)
seq6144	8p3.8	(91.9,67.4)
seq6145	6q1.6	(12.9,83.6)
seq6146	11q2.9	(30.8,86.2)
seq6147	3p8.12	(29.3,63.7)
seq6148	7q11.14	(15.7,1.6)
seq6149	22p7.12	(44.5,34.7)
seq6150	1p12.15	(17.8,81.0)
seq6151	5q14.11	(28.9,30.2)
seq6152	1q12.13	(71.9,1.7)
seq6153	7q2.12	(99.9,71.8)
seq6154	11q14.13	(84.9,23.9)
seq6155	8p7.3	(38.0,15.2)
seq6156	2p9.1	(3.3,73.4)
seq6157	20p8.15	(9.9,92.1)
seq6158	12q10.1	(32.0,56.4)
seq6159	22q3.10	(1.7,32.2)
seq6160	11p2.8	(34.6,87.2)
seq6161	15q9.10	(59.7,62.1)
seq6162	10p10.3	(69.1,20.8)
seq6163	17p8.1	(50.3,74.7)
seq6164	14q9.2	(34.4,2.5)
seq6165	22q9.12	(11.7,30.6)
seq6166	5q13.15	(15.6,5.6)
seq6167	20q8.2	(51.6,38.0)
seq6168	9q6.3	(64.0,9.8)
seq6169	18p1.4	(17.8,63.8)
seq6170	21p9.8	(9.3,5.5)
seq6171	15p13.15	(83.0,83.1)
seq6172	2q13.12	(82.0,9.7)
seq6173	13q7.10	(81.4,79.8)
seq6174	18p13.6	(3.7,35.9)
seq6175	19p13.5	(57.8,7.6)
seq6176	13p12.10	(45.3,48.1)
seq6177	1q8.15	(71.9,16.5)
seq6178	3q13.4	(85.5,83.7)
seq6179	14p7.5	(60.9,46.1)
seq6180	19p1.2	(92.0,54.0)
seq6181	20q8.11	(8.7,2.4)
seq6182	13q9.13	(15.0,16.7)
seq6183	20q7.10	(70.2,6.0)
seq6184	15q4.7	(16.2,65.2)
seq6185	19p12.12	(44.6,29.1)
seq6186	3q1.10	(37.8,33.7)
seq6187	4p8.9	(81.9,2.3)
seq6188	3p2.15	(45.5,46.4)
seq6189	16p2.10	(75.3,54.7)
seq6190	10q8.12	(76.9,96.3)
seq6191	3p5.11	(59.8,76.4)
seq6192	13q7.9	(78.2,40.9)
seq6193	21p4.12	(56.1,16.4)
seq6194	17p4.3	(17.9,74.1)
seq6195	14p8.1	(30.0,54.0)
seq6196	8q11.11	(83.9,49.1)
seq6197	2q2.2	(14.0,32.6)
seq6198	11q12.12	(33.2,98.7)
seq6199	4q10.11	(54.4,91.7)
seq6200	18p12.12	(48.4,73.3)
seq6201	16p10.10	(6.0,21.0)
seq6202	14p7.9	(2.7,37.6)
seq6203	6p11.9	(77.0,32.0)
seq6204	16p7.10	(28.3,76.7)
seq6205	6p15.15	(2.2,73.0)
seq6206	20p6.7	(91.9,13.8)
seq6207	18q3.15	(9.7,70.7)
seq6208	13p6.10	(60.5,54.3)
seq6209	15p4.6	(78.8,97.3)
seq6210	20p5.11	(78.0,14.6)
seq6211	19p7.11	(24.8,27.9)
seq6212	17q8.14	(98.3,53.2)
seq6213	8p10.5	(8.8,68.7)
seq6214	15q2.4	(81.5,26.7)
seq6215	14p13.5	(56.2,27.4)
seq6216	6p11.14	(74.0,37.5)
seq6217	14p12.2	(94.7,35.3)
seq6218	11p2.10	(45.3,87.8)
seq6219	16q6.1	(88.8,94.7)
seq6220	10p12.13	(97.7,56.8)
seq6221	21q5.9	(39.2,46.4)
seq6222	20p12.1	(91.1,29.0)
seq6223	1p2.13	(72.2,27.5)
seq6224	20q4.6	(53.1,18.3)
seq6225	7q7.10	(86.6,35.9)
seq6226	9q10.4	(34.8,84.4)
seq6227	10p6.12	(29.9,91.6)
seq6228	10q4.4	(77.2,91.9)
seq6229	19q14.5	(25.6,30.3)
seq6230	12q5.9	(47.5,84.8)
seq6231	1q1.4	(26.0,8.3)
seq6232	4q10.9	(96.4,50.5)
seq6233	5p12.13	(76.3,74.3)
seq6234	2q2.1	(22.6,90.2)
seq6235	10p13.10	(71.8,18.8)
seq6236	19p1.14	(21.1,9.5)
seq6237	2q4.3	(5.3,10.8)
seq6238	19q10.9	(48.5,83.4)
seq6239	3p12.12	(21.9,69.2)
seq6240	6p2.4	(73.6,86.6)
seq6241	4p6.3	(10.3,66.8)
seq6242	12q2.10	(53.0,31.2)
seq6243	13p14.6	(34.8,38.6)
seq6244	19q12.10	(59.9,51.8)
seq6245	22q12.14	(67.4,68.8)
seq6246	16q2.4	(33.2,88.9)
seq6247	6p1.5	(26.0,47.3)
seq6248	5q12.2	(0.8,91.4)
seq6249	4q15.6	(31.4,31.2)
seq6250	12q11.15	(57.2,47.3)
seq6251	21p6.7	(61.6,49.7)
seq6252	7p13.10	(10.9,12.0)
seq6253	21q7.10	(51.0,93.5)
seq6254	9p7.7	(95.2,7.8)
seq6255	9q8.15	(35.1,60.8)
seq6256	18q10.13	(30.3,10.0)
seq6257	11p8.15	(89.4,99.0)
seq6258	19q9.1	(34.3,98.3)
seq6259	1q15.9	(7.8,85.6)
seq6260	3q15.10	(41.7,93.0)
seq6261	9p9.3	(77.4,51.4)
seq6262	7p7.9	(71.8,97.6)
seq6263	21q3.3	(20.3,77.9)
seq6264	8p14.15	(99.9,11.9)
seq6265	18p7.7	(0.1,12.0)
seq6266	17p9.14	(68.5,43.7)
seq6267	14q4.15	(82.7,79.5)
seq6268	3q3.8	(35.7,63.9)
seq6269	7p13.9	(84.3,0.0)
seq6270	10q6.2	(5.4,22.9)
seq6271	6p8.8	(43.2,87.1)
seq6272	10q10.10	(51.7,24.1)
seq6273	10q2.9	(33.3,69.3)
seq6274	9q12.5	(72.4,29.2)
seq6275	9p13.4	(76.6,99.2)
seq6276	6p9.1	(51.8,15.8)
seq6277	19q11.10	(98.8,92.9)
seq6278	1p5.1	(90.8,95.9)
seq6279	5q9.4	(13.4,98.4)
seq6280	4q8.4	(6.3,97.1)
seq6281	6p1.10	(44.9,98.7)
seq6282	2q2.15	(73.8,8.8)
seq6283	10p15.8	(3.5,92.4)
seq6284	5p15.3	(29.2,41.2)
seq6285	3q15.10	(90.0,21.9)
seq6286	8p3.10	(72.7,64.4)
seq6287	16p13.11	(33.2,27.6)
seq6288	6p14.5	(18.6,10.0)
seq6289	13q12.6	(23.9,33.4)
seq6290	14p3.6	(96.9,87.5)
seq6291	17q13.9	(17.6,21.2)
seq6292	12p4.8	(73.2,94.1)
seq6293	19p9.9	(72.6,20.8)
seq6294	15p10.13	(40.3,46.3)
seq6295	3p14.7	(47.3,13.4)
seq6296	18p13.2	(46.2,28.2)
seq6297	2p3.11	(49.8,33.1)
seq6298	21p15.3	(48.3,64.3)
seq6299	11p6.11	(28.3,73.5)
seq6300	9q5.10	(33.0,96.0)
seq6301	6q11.12	(67.1,49.5)
seq6302	19q10.8	(83.8,42.9)
seq6303	18p11.12	(64.0,65.3)
seq6304	2p6.10	(30.6,47.8)
seq6305	9q15.15	(31.0,32.1)
seq6306	5q12.14	(73.8,51.6)
seq6307	14p14.9	(43.3,84.1)
seq6308	1p2.8	(39.2,3.6)
seq6309	7p5.2	(68.6,9.7)
seq6310	13q7.13	(86.2,15.4)
seq6311	20q2.8	(53.5,94.8)
seq6312	2q4.12	(85.3,13.2)
seq6313	3p1.3	(3.0,79.7)
seq6314	16q9.8	(32.3,9.4)
seq6315	4q11.12	(99.7,58.8)
seq6316	12q13.3	(67.0,47.6)
seq6317	5q7.6	(85.8,65.1)
seq6318	19p13.5	(21.9,22.1)
seq6319	6p10.12	(61.4,62.4)
seq6320	4p6.1	(8.5,54.0)
seq6321	21p13.4	(13.0,17.6)
seq6322	14p8.9	(57.2,27.9)
seq6323	20p12.1	(31.3,64.6)
seq6324	8p10.12	(9.9,20.0)
seq6325	20q8.3	(76.4,6.2)
seq6326	17p9.6	(42.7,60.0)
seq6327	21p8.7	(6.9,59.4)
seq6328	9p15.11	(49.1,12.3)
seq6329	9p13.1	(46.5,4.0)
seq6330	2q8.11	(24.0,95.5)
seq6331	7q11.12	(18.1,54.4)
seq6332	13q3.13	(24.1,2.6)
seq6333	4q4.2	(64.6,14.5)
seq6334	17p13.1	(56.4,19.5)
seq6335	22p15.2	(4.8,35.2)
seq6336	2p1.15	(94.3,69.3)
seq6337	18q3.10	(14.8,13.0)
seq6338	1q11.5	(95.3,34.2)
seq6339	14q6.1	(89.6,49.4)
seq6340	8q15.7	(69.2,83.1)
seq6341	19q14.10	(85.1,18.1)
seq6342	18p1.5	(87.5,13.0)
seq6343	22q10.15	(5.9,6.9)
seq6344	17p3.4	(95.4,87.4)
seq6345	12q13.2	(13.0,69.6)
seq6346	18q11.15	(75.7,59.6)
seq6347	14p15.2	(33.4,38.9)
seq6348	19q3.11	(83.3,54.1)
seq6349	21p9.13	(66.1,74.2)
seq6350	21p10.12	(43.9,42.6)
seq6351	7q14.14	(98.9,68.9)
seq6352	13q14.7	(35.7,26.1)
seq6353	12p9.7	(39.1,51.8)
seq6354	9p1.13	(82.7,80.3)
seq6355	7p2.15	(39.4,80.3)
seq6356	9q12.9	(71.1,45.1)
seq6357	4q10.10	(4.7,87.9)
seq6358	14q3.11	(1.3,31.6)
seq6359	18q7.13	(60.0,90.3)
